humidity,temperature,spo2,bp,dosha
63.76,37.86,96.06,154.53,Pitta
67.71,37.33,95.3,106.9,Kapha
60.81,37.75,96.86,112.64,Kapha
41.24,37.25,90.21,92.69,Pitta
60.19,36.5,94.11,147.67,Kapha
63.24,38.19,97.21,90.66,Kapha
37.89,36.27,96.58,146.68,Vata
54.55,37.19,94.97,120.5,Kapha
51.74,36.38,97.46,146.18,Kapha
30.67,38.36,96.32,141.02,Pitta
35.57,37.66,92.83,91.33,Pitta
42.02,37.87,90.43,119.63,Pitta
64.74,38.08,98.98,133.15,Pitta
43.04,38.05,95.36,152.04,Pitta
60.92,38.44,90.64,118.62,Pitta
46.88,36.99,91.38,128.67,Pitta
33.32,36.68,98.11,102.48,Kapha
45.86,37.84,94.8,93.88,Kapha
36.5,36.73,90.21,100.76,Pitta
51.86,37.4,99.96,107.78,Kapha
64.52,38.37,96.42,159.98,Pitta
50.4,37.83,97.86,129.55,Kapha
45.29,36.46,91.31,136.37,Pitta
45.91,38.23,98.71,156.41,Pitta
30.76,36.33,92.7,110.94,Pitta
48.94,37.15,95.76,99.71,Kapha
44.08,37.71,92.97,97.08,Pitta
54.07,36.67,99.98,156.12,Kapha
58.11,37.75,99.5,107.54,Kapha
43.73,36.88,96.92,113.14,Kapha
56.32,36.12,97.4,97.58,Kapha
61.89,37.04,92.03,128.52,Pitta
54.84,36.9,93.82,99.01,Pitta
54.51,37.86,92.28,147.85,Pitta
58.79,37.29,97.23,102.14,Kapha
50.27,37.25,99.44,95.37,Kapha
40.85,37.64,90.88,154.41,Pitta
50.08,38.29,95.52,131.17,Pitta
61.93,38.06,96.26,147.86,Pitta
36.74,37.51,98.39,145.74,Pitta
48.14,38.25,95.27,153.41,Pitta
47.07,36.12,98.5,126.35,Kapha
45.03,37.94,98.13,148.97,Pitta
37.13,37.28,94.66,126.61,Kapha
35.05,36.66,94.94,117.24,Kapha
39.45,37.35,96.27,148.86,Kapha
34.16,37.79,93.01,134.13,Pitta
62.46,37.37,91.46,107.12,Pitta
36.92,37.91,96.43,158.38,Pitta
